draft_year,pick,name,player_slug,player_url,position,height,weight,age_at_draft,combine_max_vertical,combine_lane_agility,combine_shuttle,combine_three_qtr_sprint,combine_standing_reach,combine_wingspan,pg_g,pg_mp,pg_fgm_fga,pg_fg_pct,pg_tpm_tpa,pg_3p_pct,pg_ftm_fta,pg_ft_pct,pg_reb,pg_ast,pg_blk,pg_stl,pg_to,pg_pf,pg_pts,p36_g,p36_mp,p36_fgm_fga,p36_fg_pct,p36_tpm_tpa,p36_3p_pct,p36_ftm_fta,p36_ft_pct,p36_reb,p36_ast,p36_blk,p36_stl,p36_to,p36_pf,p36_pts,adv1_ts_pct,adv1_efg_pct,adv1_3pa_rate,adv1_fta_rate,adv1_proj_nba_3p,adv1_usg_pct,adv1_ast_usg,adv1_ast_to,adv2_per,adv2_ows_40,adv2_dws_40,adv2_ws_40,adv2_ortg,adv2_drtg,adv2_obpm,adv2_dbpm,adv2_bpm
2011,20,Donatas Motiejunas PF | Benetton Treviso,donatas-motiejunas,https://www.tankathon.com/players/donatas-motiejunas,PF,"7'0""",222lbs,20.74yrs,,,,,,,46,26.3,4.3-8.7,.499,0.5-1.5,.328,3.1-4.6,.686,4.8,1.0,0.5,1.1,2.1,,12.3,46,36.0,5.9-11.9,.499,0.7-2.1,.328,4.2-6.3,.686,6.6,1.4,0.7,1.5,2.9,,16.8,.565,.526,.167,.524,.327,,,0.46,,,,,,,,,
2011,21,Nolan Smith PG | Duke,nolan-smith,https://www.tankathon.com/players/nolan-smith,PG,"6'3.5""",188lbs,22.89yrs,"34.0""",11.05,,3.17,"8'3""","6'5.5""",37,34.0,7.0-15.4,.458,1.5-4.4,.350,5.1-6.2,.813,4.5,5.1,0.1,1.2,3.2,1.9,20.6,37,36.0,7.4-16.3,.458,1.6-4.7,.350,5.4-6.6,.813,4.8,5.4,0.1,1.3,3.4,2.0,21.8,.564,.508,.287,.405,.361,30.7,0.99,1.60,25.7,.162,.073,.235,116.8,96.0,7.5,2.3,9.9
2011,22,Kenneth Faried PF | Morehead State,kenneth-faried,https://www.tankathon.com/players/kenneth-faried,PF,"6'7.5""",225lbs,21.57yrs,"35.0""",11.35,,3.26,"9'0""","7'0""",,34.7,6.7-10.7,.623,0.0-0.0,,4.0-6.9,.577,14.5,1.1,2.3,1.9,2.6,,17.3,,36.0,7.0-11.1,.623,0.0-0.0,,4.1-7.2,.577,15.0,1.1,2.4,2.0,2.7,,17.9,.619,3PA Rate,.000,.644,.300,24.5,0.30,0.40,,.155,.118,.273,121.0,84.0,6.2,,8.5
2011,23,Nikola Mirotić PF | Real Madrid,nikola-mirotic,https://www.tankathon.com/players/nikola-mirotic,PF,"6'10""",220lbs,20.34yrs,,,,,,,49,16.3,2.8-5.3,.517,0.6-1.6,.403,1.3-1.6,.868,3.6,0.6,0.4,,0.9,,7.5,49,36.0,6.2-11.7,.517,1.3-3.5,.403,2.9-3.5,.868,8.0,1.3,0.9,,2.0,,16.6,.618,.577,.295,.291,.367,,,0.67,,,,,,,,,
2011,24,Reggie Jackson PG | Boston College,reggie-jackson,https://www.tankathon.com/players/reggie-jackson,PG,"6'3""",208lbs,21.17yrs,,,,,,,34,34.1,6.4-12.8,.503,2.1-5.0,.420,3.2-4.0,.796,4.3,4.5,0.5,1.1,2.4,1.7,18.2,34,36.0,6.8-13.5,.503,2.2-5.3,.420,3.4-4.2,.796,4.5,4.8,0.5,1.2,2.5,1.8,19.2,.618,.585,.389,.315,.371,27.2,1.09,1.88,26.9,.172,.021,.193,122.8,109.8,8.9,0.9,9.8
2011,25,MarShon Brooks SG | Providence,marshon-brooks,https://www.tankathon.com/players/marshon-brooks,SG,"6'5.25""",195lbs,22.39yrs,"38.5""",10.74,,3.09,"8'5""","7'1""",32,36.5,8.6-17.8,.483,2.1-6.2,.340,5.3-6.8,.772,7.0,2.5,1.2,1.5,3.1,,24.6,32,36.0,8.5-17.6,.483,2.1-6.1,.340,5.2-6.7,.772,6.9,2.5,1.2,1.5,3.1,,24.3,.584,.542,.345,.384,.363,30.6,0.52,0.82,28.8,.164,.041,.202,118.3,104.4,8.8,,10.3
2011,26,Jordan Hamilton SF/SG | Texas,jordan-hamilton,https://www.tankathon.com/players/jordan-hamilton,SF/SG,"6'8.5""",228lbs,20.69yrs,"32.0""",11.47,,3.3,"8'8""","6'9.5""",36,32.2,6.8-15.3,.440,2.5-6.5,.385,2.6-3.4,.779,7.7,2.1,0.6,0.9,,1.8,18.6,36,36.0,7.6-17.1,.440,2.8-7.3,.385,2.9-3.8,.779,8.6,2.3,0.7,1.0,,2.0,20.8,.550,.522,.424,.221,.377,29.1,0.50,0.99,25.6,.138,.093,.231,115.5,90.6,8.3,3.1,11.4
2011,27,JaJuan Johnson PF | Purdue,jajuan-johnson,https://www.tankathon.com/players/jajuan-johnson,PF,"6'10""",220lbs,22.35yrs,"38.0""",11.21,,3.14,"8'11.5""","7'2""",34,35.4,7.6-15.3,.494,0.4-1.5,.294,5.0-6.1,.809,8.6,1.0,2.3,0.9,1.6,,20.5,34,36.0,7.7-15.6,.494,0.4-1.5,.294,5.1-6.2,.809,8.7,1.0,2.3,0.9,1.6,,20.8,.564,.509,.098,.402,.338,29.1,0.22,0.59,28.8,.143,.096,.239,117.2,90.3,7.0,3.5,10.5
2011,28,Norris Cole PG | Cleveland State,norris-cole,https://www.tankathon.com/players/norris-cole,PG,"6'1.75""",174lbs,22.67yrs,"38.5""",10.07,,3.22,"7'11.5""","6'2.25""",36,35.7,7.0-15.9,.439,1.4-4.1,.342,6.3-7.4,.853,5.8,5.3,0.1,2.2,2.7,2.4,21.7,36,36.0,7.1-16.0,.439,1.4-4.1,.342,6.4-7.5,.853,5.8,5.3,0.1,2.2,2.7,2.4,21.9,.558,.483,.260,.465,.363,32.1,1.15,1.97,30.0,.174,.084,.258,117.7,92.8,6.7,3.5,10.2
2011,29,Cory Joseph PG | Texas,cory-joseph,https://www.tankathon.com/players/cory-joseph,PG,"6'3.25""",186lbs,19.82yrs,"35.0""",10.75,,3.27,"8'3""","6'5.5""",36,32.4,3.8-8.9,.422,1.4-3.5,.413,1.4-2.0,.699,3.6,3.0,0.3,1.0,1.5,1.8,10.4,36,36.0,4.2-9.9,.422,1.6-3.9,.413,1.6-2.2,.699,4.0,3.3,0.3,1.1,1.7,2.0,11.6,.526,.503,.391,.227,.348,17.3,1.00,2.02,15.1,.075,,.151,112.7,95.0,2.7,3.8,6.5
