draft_year,pick,name,position,height_inches,weight,age_at_draft,combine_max_vertical,combine_lane_agility,combine_shuttle,combine_three_qtr_sprint,combine_wingspan_inches,wingspan_over_height,pg_g,pg_mp,pg_fg_pct,pg_ft_pct,p36_pts,p36_reb,p36_ast,p36_blk,p36_stl,p36_to,p36_pf,adv1_ts_pct,adv1_3pa_rate,adv1_fta_rate,adv1_proj_nba_3p,adv1_usg_pct,adv1_ast_usg,adv1_ast_to,adv2_per,adv2_ows_40,adv2_dws_40,adv2_obpm,adv2_dbpm,limited_data,scaled_height_inches,scaled_weight,scaled_age_at_draft,scaled_combine_max_vertical,scaled_combine_lane_agility,scaled_combine_shuttle,scaled_combine_three_qtr_sprint,scaled_combine_wingspan_inches,scaled_wingspan_over_height,scaled_pg_g,scaled_pg_mp,scaled_pg_fg_pct,scaled_pg_ft_pct,scaled_p36_pts,scaled_p36_reb,scaled_p36_ast,scaled_p36_blk,scaled_p36_stl,scaled_p36_to,scaled_p36_pf,scaled_adv1_ts_pct,scaled_adv1_3pa_rate,scaled_adv1_fta_rate,scaled_adv1_proj_nba_3p,scaled_adv1_usg_pct,scaled_adv1_ast_usg,scaled_adv1_ast_to,scaled_adv2_per,scaled_adv2_ows_40,scaled_adv2_dws_40,scaled_adv2_obpm,scaled_adv2_dbpm,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15
2010,1,John Wall PG | Kentucky,PG,76.0,196.0,19.78,39.0,10.84,3.03,3.14,81.25,5.25,37.0,34.8,0.461,0.754,17.2,4.4,6.7,0.5,1.9,4.1,2.0,0.562,0.26,0.53,0.342,25.7,1.35,1.62,22.3,0.115,0.081,5.6,3.3,0,-1.181018293054525,-0.8107950748386836,-0.5200940991953344,1.2991068142089612,-0.920834810478348,-0.06934730783799538,-1.2659093347031887,-0.5054068220805185,0.9595340925370195,0.48915595155333086,0.952991712118521,-0.46862322236923465,0.18438314318669882,-0.1536477475347712,-1.1124282764269502,2.3055238526481494,-0.6130964825107246,1.0545470172055689,2.2310760608322893,-0.9842069831495837,-0.4010298742838618,-0.19148606894863845,0.9702036225929418,-0.20186336094955507,0.22624357193884453,2.1850997138134236,0.7952179871331908,-0.16859693123656405,-0.1352694305757539,0.3332836791477287,-0.0323733553856288,0.026070641902169147,-3.090234782589178,-0.21540788159351706,3.544966553518043,1.1050467274616411,0.7201382431361584,0.0011067881803515918,0.7039977748466815,1.3980859595463826,1.008753389483781,-0.4999485335063526,0.06166094302354464,-0.7320693473355104,0.4242630868266191,0.17568221271489082,0.19061204155512373
2010,2,Evan Turner SG | Ohio State,SG,79.0,214.0,21.64,34.5,11.06,3.03,3.27,80.0,1.0,31.0,35.7,0.519,0.754,20.6,9.3,6.1,0.9,1.7,4.4,2.8,0.581,0.12,0.4,0.338,33.1,1.13,1.36,30.0,0.144,0.101,5.6,3.3,0,-0.178627672076982,-0.031108698840336867,0.9520880374649622,-0.5988855025446796,-0.2535004066493321,-0.06934730783799538,0.2577635406216921,-0.9166395656543114,-1.3436996369207286,-0.2830196166162781,1.1169657636747108,0.3620131132003007,0.18438314318669882,0.808672355446162,0.6592925556959502,1.947935293874594,-0.24270719871078691,0.6697123237229679,2.6583033916299628,0.05392914976162045,-0.025066374808388397,-1.0023699613266543,0.03313442965440504,-0.35369530341268207,1.9999461096312594,1.5125903271380468,0.3485893433644084,1.3473244709824777,0.6022635653359989,1.300430702788262,-0.0323733553856288,0.026070641902169147,-0.7828278746974717,2.2675451853692548,3.045161004498858,2.3294538515886223,-0.6904068133893831,-1.1048786202419494,0.38242795793630513,-1.527629682159243,-0.10489063809907571,0.979511461970256,0.08498528146627421,-0.5330531536316429,1.052250335497495,0.3783436932396695,0.2580031461430029
2010,3,Derrick Favors PF/C | Georgia Tech,PF/C,82.25,245.0,18.92,35.5,11.74,3.03,3.25,88.0,5.75,36.0,27.5,0.611,0.629,16.2,11.0,1.3,2.7,1.2,3.3,3.4,0.621,0.003,0.488,0.307,21.8,0.36,0.41,24.5,0.093,0.101,5.6,3.3,0,0.9072955006486897,1.3116845042679268,-1.200780463457622,-0.17710943215498173,1.809169568822165,-0.06934730783799538,0.023352329033248485,1.715249993217963,1.230502766590872,0.3604600235250627,-0.377020039392787,1.6795741972071494,-1.1624921280106204,-0.43668307194092787,1.2739712117385888,-0.9127731763138459,1.4240445783889326,-0.29237440998353476,1.0918031787051625,0.8325312494450238,0.7664357293505075,-1.6800372142425675,0.6674581910281835,-1.5303928575019161,-0.7085456033314816,-0.84119252622577,-1.2833230088676812,0.2645234693974478,-0.6947772205777738,1.300430702788262,-0.0323733553856288,0.026070641902169147,5.11132823434538,-0.8740163848081374,0.6821903493832626,0.607372504220222,-0.09640062197474708,-0.10247635770804053,0.2587100252805219,1.1500419386626943,0.5771311121470385,-0.4931168954682504,-0.11389652467563069,-0.5262294589420722,-0.4981476335842254,1.444925538137622,0.27200245493608094
2010,4,Wesley Johnson SF | Syracuse,SF,79.25,206.0,22.93,37.0,11.43,3.03,3.14,85.0,5.75,35.0,35.0,0.502,0.772,17.0,8.7,2.3,1.9,1.7,2.4,2.2,0.6,0.299,0.352,0.356,22.1,0.5,0.96,24.2,0.121,0.095,5.6,3.3,0,-0.0950951203288534,-0.3776359770618243,1.9731175838583934,0.45555467342956524,0.8688347270630983,-0.06934730783799538,-1.2659093347031887,0.7282914086408602,1.230502766590872,0.23176409549679453,0.989430390242119,0.11855073898164356,0.378333182239113,-0.21025481241600233,0.4423471476809007,-0.31679224502458775,0.683266010789057,0.6697123237229679,-0.18987881368785509,-0.7246729499217823,0.35089712466708717,0.0344030153566658,-0.3128603492767473,0.3295484376713872,-0.6366387436953025,-0.41323200743234867,-0.3385316470491031,0.20546159658371874,0.017323603061160348,1.0102865956961018,-0.0323733553856288,0.026070641902169147,0.35058940466784894,0.5747479221560968,0.2777689814675123,-0.8076890783731318,0.7090560206143844,2.41884135060166,-0.020569283605778674,0.2301737782107086,0.2593920860390724,0.4583343764622674,-1.0659817942821534,0.022671787262369653,0.5335374206900491,1.6490774800591153,-0.05158565905034325
2010,5,DeMarcus Cousins C | Kentucky,C,82.75,276.55999999999995,19.84,28.0,11.4,3.03,3.55,89.75,7.0,38.0,23.5,0.558,0.604,23.1,13.738999999999999,1.5,2.8,1.3,3.2,4.9,0.579,0.016,0.726,0.305,30.5,0.3,0.49,34.2,0.17,0.121,5.6,3.3,0,1.074360604144947,2.6787346168516923,-0.47260435285145497,-3.3404299600777163,0.7778345810864165,-0.06934730783799538,3.5395205028598973,2.290975834221273,1.9079244517255038,0.617851879581599,-1.105793601864737,0.9205444422901612,-1.4318671822500846,1.5162606664615537,2.264326999327287,-0.7935769900559944,1.5166418993389166,-0.09995706324223406,0.9493940684392722,2.7790364986535327,-0.0646414800163332,-1.6047408528074658,2.383015636561812,-1.6063088287334795,1.376753326117708,-1.0246041771372363,-1.1458988107849788,2.174190690374683,1.2635000444292956,2.2675777264287946,-0.0323733553856288,0.026070641902169147,7.357737324443059,1.9014233297296654,1.109449760805321,3.126368595715322,-2.9062513742738565,0.057244260878069525,-1.20944186009076,-0.6718452333893823,0.8046692202473876,-2.0177276628465863,-0.29992416105338027,1.2455184905693317,0.11780204765652312,-1.797664664409195,-0.013238203226068819
2010,6,Ekpe Udoh C | Baylor,C,81.75,237.0,23.07,33.5,11.15,3.03,3.29,88.5,6.75,36.0,35.1,0.49,0.685,14.3,10.1,2.8,3.8,0.8,2.5,2.6,0.535,0.067,0.415,0.316,22.1,0.65,1.11,24.9,0.108,0.082,5.6,3.3,0,0.7402303971524326,0.9651572260464395,2.0839269919941152,-1.0206615729343775,0.019500031280718682,-0.06934730783799538,0.4921747522101357,1.8797430906474804,1.7724401146985775,0.3604600235250627,1.007649729303918,-0.05330505458446737,-0.5590920065142209,-0.9744501883126251,0.9485530997160152,-0.01880177937995855,2.4426151088387607,-1.0620437969487366,-0.047469703421964084,-0.2056048834661803,-0.9352937945911165,-1.3093474348697602,0.14125779807038974,-1.1887709869598804,-0.6366387436953025,0.04529711984631708,-0.08086127564403615,0.34327263314908607,-0.3132946364854876,0.3816410303297554,-0.0323733553856288,0.026070641902169147,3.0012500555080055,-0.30718321591949493,0.8222794949969306,0.012667165862878582,-0.9253285255220842,2.727841796994788,1.7538061086608179,-0.014953382374089389,-0.676536051103404,-0.5193403884118868,-0.5282421370067155,-0.03389818344053309,1.6580614108521436,-0.27268837289878356,-0.7374880867836758
2010,7,Greg Monroe PF/C | Georgetown,PF/C,83.0,247.0,20.03,29.0,12.1,3.03,3.35,86.25,3.25,34.0,34.2,0.525,0.66,16.9,10.1,4.0,1.6,1.3,3.5,2.7,0.567,0.07,0.543,0.312,26.7,0.84,1.14,25.2,0.11,0.079,5.6,3.3,0,1.1578931558930754,1.3983163238232987,-0.3222201560958322,-2.9186538896880183,2.901171320542368,-0.06934730783799538,1.1954083869754666,1.139524152214653,-0.12434060367839135,0.10306816746852637,0.8436756777477296,0.4479410099833562,-0.828467060753685,-0.23855834485661842,0.9485530997160152,0.6963753381671516,0.40547404793910397,-0.09995706324223406,1.3766213992369445,-0.07583786685227964,-0.302092111264002,-1.2919713514616598,1.0639105418867956,-1.3406029294230073,0.46593310405944105,0.6261006810659601,-0.02932720136302314,0.4023345059628151,-0.2624302919398494,0.2365689767836753,-0.0323733553856288,0.026070641902169147,2.9518550927430653,0.17544517810305219,1.3145475319070343,1.8468783098077026,-3.6859911356317276,-0.18264762559410513,1.4870458316105006,-0.4264599651431742,0.15169912308322794,0.15929827177009329,-0.5502750850028926,-0.7852322600208428,-0.5406250002052064,1.107026475656133,-0.39958245315978924
2010,8,Al-Farouq Aminu SF | Wake Forest,SF,80.5,216.0,19.73,33.5,11.29,3.03,3.3,87.25,6.75,31.0,31.3,0.447,0.698,18.2,12.3,1.5,1.6,1.3,3.7,3.3,0.524,0.176,0.532,0.326,27.5,0.33,0.41,24.4,0.082,0.091,5.6,3.3,0,0.32256763841178954,0.05552312071503499,-0.5596688878152355,-1.0206615729343775,0.4441673791719058,-0.06934730783799538,0.6093803580043549,1.4685103470736873,1.7724401146985775,-0.2830196166162781,0.3153148449555655,-0.669121648196364,-0.41901697830970075,0.12938757687138544,1.7440195957711953,-0.7935769900559944,0.40547404793910397,-0.09995706324223406,1.6614396197687265,0.7027642328311232,-1.152956873234813,-0.678016404375448,0.9846200717150732,-0.809191130802063,0.6576847297559184,-0.932898351681503,-1.2833230088676812,0.24483617845953787,-0.9745311155787835,0.816857190967995,-0.0323733553856288,0.026070641902169147,2.6686583118619005,-0.9781538479310633,0.4116662118107694,2.8355046845187104,-0.469772568675995,1.4700557078802696,-0.6441327049023331,-0.1703497260551686,0.666967185985184,-0.7673968950875811,-0.19918307057698473,-0.5514241733047701,-0.03730184853492752,-0.2019904184673774,0.06975238673900133
2010,9,Gordon Hayward SF | Butler,SF,80.0,211.0,20.23,34.5,11.73,3.03,3.22,79.75,-0.25,37.0,33.5,0.464,0.829,16.7,8.8,1.8,0.9,1.2,2.5,2.3,0.601,0.429,0.579,0.357,24.7,0.49,0.73,24.3,0.129,0.097,5.6,3.3,0,0.15550253491553237,-0.16105642817339466,-0.1639210016162309,-0.5988855025446796,1.7788361868299378,-0.06934730783799538,-0.32826448834941435,-0.9988861143690699,-2.02112132205536,0.48915595155333086,0.7161403043151379,-0.4256592739777069,0.99250830590509,-0.29516540973784955,0.4785047156834094,-0.6147827106692167,-0.24270719871078691,-0.29237440998353476,-0.047469703421964084,-0.5949059333078822,0.3706846772710596,0.7873666297076805,1.323406626085159,0.3675064232871689,-0.013445960181752004,-0.44380061591759307,-0.7336262165368721,0.22514888752162865,0.22078098124371315,1.1070012980601553,-0.0323733553856288,0.026070641902169147,0.013546388469553644,0.8054691042386402,-0.9133819870584867,-0.361402139888823,-0.4743779291261635,-0.6838974437890029,-0.049150880296505585,-1.429891980108411,1.6210413317488968,1.4269973122676578,-0.9560421689286825,-1.5562419679516493,-0.9787071679923732,0.5936384362412793,-0.7347975046834282
2010,10,Paul George SF | Fresno State,SF,80.75,214.0,20.12,36.0,11.1,3.03,3.25,83.25,2.5,29.0,33.2,0.424,0.909,18.2,7.8,3.3,0.9,2.4,3.5,3.1,0.572,0.46,0.364,0.384,27.9,0.8,0.94,24.3,0.096,0.075,5.6,3.3,0,0.40610019015991816,-0.031108698840336867,-0.2509855365800115,0.03377860303986726,-0.13216687868042304,-0.06934730783799538,0.023352329033248485,0.15256556763755016,-0.5307936147591704,-0.5404114726728144,0.6614822871297421,-0.9985119191980766,1.854508479471375,0.12938757687138544,0.11692903565832741,0.27918868626467064,-0.24270719871078691,2.0166337509120713,1.3766213992369445,0.44323019960332244,-0.20315434824413997,0.9669194915913841,-0.2263616545439592,1.392372034913276,0.7535605426041567,0.5038262471249828,-0.3728876965697787,0.22514888752162865,-0.6184807037593164,0.04313957205556849,-0.0323733553856288,0.026070641902169147,-1.6451957118930305,0.21161882077887534,0.39561996392251864,1.1835464129227198,-0.19252434519552694,0.06504105564743128,-1.8945043970708946,-0.8752672205612513,0.01709054807620825,0.22350326507298757,-1.3188119147564228,-1.1428686178951009,0.19793985885365334,0.4676384906154687,1.464316354220218
